源节点,目标节点,担保时间,担保类型,担保金额
T57aff3ea7ef85e2520d6800d33102c21,T71972a74e8779eb2967fe6caa8d54211,1900-1-1,Chain,120
T63d38fe9967f5405dcc4fc04dd9aeb34,T8537164f81bcf08951fb54c60560f471,1900-1-1,Cross,120
T80ef1eed49cc33f34db618cadef54c6f,T33ab67fc4f7b492a6fd57e6b6d3cbad7,1900-1-1,Chain,120
T9bc0086e1284f47ce2c8f6686ede31d3,T584824cb10f432024d8face3dc326c7a,1900-1-1,Chain,120
T9bc0086e1284f47ce2c8f6686ede31d3,T584824cb10f432024d8face3dc326c7a,1900-1-1,Chain,120
T9e25b71bd2c65ddf1e917e20fc5b1e95,Tcd5910c5628f9062ed257ae4638bb1ed,1900-1-1,Chain,120
Tc1dac5066a456c8d936800a14d52daa7,T66e12dcce1aed55cd6d1d9ebf0cb2600,1900-1-1,Chain,120
Tcd1513ba2b0f1632192fd1bfaf95ee7c,T8f7c692602863eff81151a8800043bd8,1900-1-1,Chain,120
Te1a078cd3359134fce7899a66021a2f0,Teb7f8ba0239725a147b7614632552b5d,1900-1-1,Chain,120
T51a04053b36288cf97628a798d66216d,T53af0521a377410293d028976e496ba0,1900-1-1,Chain,120.6
T2d016a06b9fc9b5402321d663861c2b4,T4bd106928843eaa1e0ca43dccc6eaebc,1900-1-1,Chain,125
Tead8f1f93c304ce3263ae957ae10dda3,Tfe302d3b50cbd8e9aa1183f6d3cb8a9e,1900-1-1,Cross,128
T82d97461eb479d9036ac136ed7960bf0,Tbd925e604a0982a34ee786862d326ccd,1900-1-1,Chain,129
T0437503f8d9675059ba488a58106b006,T18aa083b349c636418e87dc90fe8e147,1900-1-1,Chain,130
T101e597a522b7cc69ee91fb043e54cf0,T1992b3e8e0159ae2c5f5fbaee473bbc4,1900-1-1,Focus,130
T101e597a522b7cc69ee91fb043e54cf0,T4f167feb0fbec3d555ef59ab2bce7ea3,1900-1-1,Focus,130
T101e597a522b7cc69ee91fb043e54cf0,T60c67f3e1e0833c755a61351a3312b27,1900-1-1,Focus,130
T101e597a522b7cc69ee91fb043e54cf0,T6857e35f6ac214fe5c194a621b8505fa,1900-1-1,Focus,130
T101e597a522b7cc69ee91fb043e54cf0,T80920d8acb68d853bf8d237ee5206504,1900-1-1,Focus,130
T101e597a522b7cc69ee91fb043e54cf0,Ta56835538948725e848ae6bc5cf1b548,1900-1-1,Focus,130
T101e597a522b7cc69ee91fb043e54cf0,Tcf4b73257ee7b829302c07f4396eb40c,1900-1-1,Focus,130
T101e597a522b7cc69ee91fb043e54cf0,Te74f46fb88eaef378cd911b5cb2c0796,1900-1-1,Focus,130
T101e597a522b7cc69ee91fb043e54cf0,Teeeaf05647cea1acee865d38138a1d49,1900-1-1,Focus,130
T2bd2a5d39808b8fb6633aebe2595caef,Tdabde3fb525c42320b5a0ea502aaa7fc,1900-1-1,Chain,130
T2bd2a5d39808b8fb6633aebe2595caef,Tdabde3fb525c42320b5a0ea502aaa7fc,1900-1-1,Chain,130
T477d8b9dad59ecf2f2881ee5aa94b009,Tb8ff6d97198f64a40f50dc41398df0b1,1900-1-1,Chain,130
T6e02edd87b318160418ee5f0c4b78e36,T581ecaad380cc4c33baf2ec3cb741475,1900-1-1,Chain,130
T770f7080e30ffdab4a78308bd959ab27,Ta0ec2b2916154db935aadc3a61da09df,1900-1-1,Chain,130
T7ec170d71f496faba235ccd4495fd774,T68899a2eea8e6d561db687e17c4e190a,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T091112f2a89c7bb9e253d152cc948a28,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T0df706b0c65d71d2a23cfff383b02c1d,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T147b794ec188107082e24448027e8e69,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T18052bcb5b69358f8e0bf04e975869b5,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T1992b3e8e0159ae2c5f5fbaee473bbc4,1900-1-1,Focus,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T1992b3e8e0159ae2c5f5fbaee473bbc4,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T1a14fc0bcb63cd91bcff6d9ba791c942,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T2080fee139bb22edb6664793b0b11265,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T20c413acd9db878bbea2cc0bff0511c8,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T2ea6efae3cab2d6308f3221e5aaae729,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T31084b89377042e2d620d84a5656baa3,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T3334292ba7837cd42051d0fc2bc05569,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T36f1d471fcc8030d3a9f37545363e238,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T478258ec539b74b63a439b0660c7a5af,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T485e04978b5662284ef5492220ec4c52,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T49189c941644a76677486ff02cffc938,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T4f167feb0fbec3d555ef59ab2bce7ea3,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T4f167feb0fbec3d555ef59ab2bce7ea3,1900-1-1,Focus,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T4fe8a44584f3b5d718a75721701faa50,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T602ac6afd378d7efc66debe40a9d7fbe,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T60c67f3e1e0833c755a61351a3312b27,1900-1-1,Focus,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T60c67f3e1e0833c755a61351a3312b27,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T6857e35f6ac214fe5c194a621b8505fa,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T6857e35f6ac214fe5c194a621b8505fa,1900-1-1,Focus,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T7e5a5845e92d598e3e85f5456d05755a,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T804d7a7d3a981ca3ab3f9e4b1367135a,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T80920d8acb68d853bf8d237ee5206504,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T80920d8acb68d853bf8d237ee5206504,1900-1-1,Focus,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T82e37b2e3882f11eb38e78f92c69d709,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T83ae8ff756f14779bcf37255b4094375,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T9a5cf35dde012746b5baa3ec369906b5,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T9ac7b57f21442db196e5c34db9e009fa,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,T9d866b67d0d245e28cdca23f9aeb84da,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Ta56835538948725e848ae6bc5cf1b548,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Ta56835538948725e848ae6bc5cf1b548,1900-1-1,Focus,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Ta6f35b84ac07f828e4da99b4d59befd1,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Ta9f93de48c3b02f70ae74ccd232c50c6,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Tb11fa99bc46a25ddbef8e2931283cb17,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Tb54287bd6106e58193cbbed452f09910,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Tb78e78c18ca4a571b1b4ab48d88593a8,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Tbb1752e41b3f982ee767303eb9e2c5b9,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Tbc5c78d628af138145ee504b7c5ecb58,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Tc5fda01ad3d4e1084baee33928c2b6f3,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Tcf4b73257ee7b829302c07f4396eb40c,1900-1-1,Focus,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Tcf4b73257ee7b829302c07f4396eb40c,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Td11776471c147c90712612de60d182f5,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Td1454a1f72e6e0298252e2ec83b19985,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Td88e8df91134206b8226de6f03a51787,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Te55bcc90d7b5452a1e30d22fbbcaf678,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Te74f46fb88eaef378cd911b5cb2c0796,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Te74f46fb88eaef378cd911b5cb2c0796,1900-1-1,Focus,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Te7c5e079e1aef6894b239c5a381f0a41,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Ted87efcbcaa545c75b73e43c6bc4e334,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Teeeaf05647cea1acee865d38138a1d49,1900-1-1,Focus,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Teeeaf05647cea1acee865d38138a1d49,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Tf14038857068de98b35c00a0aa74e40a,1900-1-1,Chain,130
T8af3cbf0bb9ed0ee56e36f21ded3a1f3,Tf6d935360b6c839c4814b50a074f3235,1900-1-1,Chain,130
Ta7a1ff53a57cebddf38c45a73285ba84,Tc9ac363064610147262bfebcf8b2bf58,1900-1-1,Chain,130
Taa17f243fbb6b1ecf20219ec1fc57d22,T5845ecbf453c9e0887e35b56a19a7c82,1900-1-1,Cross,130
Td4acedd92297ffddf8d032c50863c68e,Tcb813835ed18b27aef638ff1122fad90,1900-1-1,Chain,130
T7ec47e24ad2ab23082a5bd0ba570f260,T2436ba8894167181c20fc673e1f56734,1900-1-1,Chain,131.2
Te5b71831619abeeb95ae14fc28148065,Tcf6d835403a246197ff9174dddea7e78,1900-1-1,Cross,131.84
T78e8dd4e116c4cd13facba0358f52eb8,Tcb9a29ddb982ace4fa6d00d756ae9dea,1900-1-1,Chain,133.42
Tfa3b4420882fee4584e7cb1cbbed7ecc,Te16aa022c31c181fc5166bdee7e4b2e1,1900-1-1,Chain,134
T9418b63f6ccd27d44c22cd623ab6f1c6,Tc46bfd766ff911cae95db763a6076227,1900-1-1,Chain,135
Tc7665861c1cda33bb44bc41d3b544ecc,Td33166651c6a8a832dff14efca4f0cd7,1900-1-1,Cross,137
T1d3a66af481777601db039d239964b50,Tb6d8fb44b221ca8f7b676e207aaee885,1900-1-1,Cross,140
T23f76f80f139dfbd8cbf3a02bae3e87e,T0abeb370711719141577d52c6a7fa701,1900-1-1,Chain,140
T2d725d132fcfb49c065b129285ee1ce1,T14e8306cad2c34cc1655cbb8f14891aa,1900-1-1,Chain,140
T45c61d542d746f08066bf333f8014ab1,Ta52adaa9e361dc9151cf729ba4b42a57,1900-1-1,Chain,140
T51f635ae974068ca297dbc977a7c51e1,T25d0ed21bc358b695a4c4f8211e634fc,1900-1-1,Chain,140
T56970bc5918142afdbe1c0918bf7a2af,T6e661ab27fd6c5b180978ffaa6a578d1,1900-1-1,Chain,140
T67b5c2ca867dd80173981ab6b67bad63,T43c29d7c697fd3fd67ee8b7989bd7cd7,1900-1-1,Chain,140
Td1bfe7318f1ad03b9e88d56067a6d597,Tf0f28c83080306bf80783a20084c7c51,1900-1-1,Chain,140
Td443c7b9a52703ed505bc26e65e2b2a1,Tde90ee0ad004f4bc2b8f441c81644d76,1900-1-1,Chain,140
Te5fcec35dca5c6dbe61f0f4b9ccb05aa,T97552e2bf4caab78602189106612bf2e,1900-1-1,Chain,140
Tf368653303655fb18226e349648f8d8e,T779ad7169346bf2c72034b115c5b3163,1900-1-1,Chain,140
T2cc63caa7ddd33f544c995b7aa6f950f,T1caebb0c7742e84e593d29d799f2ff81,1900-1-1,Chain,142.5
T339dac1ca30d7037b8da19119e50acf3,Tc3a0022080f00e0d0acb87c8d2f8877b,1900-1-1,Chain,144
T4d1a3ea7b13fbe7fbef025c9039c92fe,T3824ea2691ad4d692ebb3b81a5108e2f,1900-1-1,Chain,145
Tea87c1f0372eecc49cb5fadded38c212,T9e3818db19490dbce3b61d570093f256,1900-1-1,Chain,148
T65bce01990b0634f976d00ab13e5aa24,Te0d1a35f7409176e61a065c72b9f36ce,1900-1-1,Chain,149
Td7ebbaa5c78d41574e9bf6959b413cd3,T19f0000d52760209029640bb74c49eb8,1900-1-1,Cross,149
T07a445b41bfc548634315ff745d3ceeb,T10cf15dfa79e4706419ea79129cc15a5,1900-1-1,Cross,150
T0e86c11c7a7e3ee3d9337a87f4e01bcb,T47c8d1f2e83e1a16db537b9567f884f1,1900-1-1,Chain,150
T12f7295721b14a51943e87d4e8aca985,T49d842a3c29ce82cca045a43b1cdd1b6,1900-1-1,Chain,150
T134e772feb88785af08ee79f2538d9b7,Td3e4281564ea34ecc4f187a88ff24847,1900-1-1,Chain,150
T238f4d4146abc2c31e9458d7c0a8e021,T32573e4f10768742c2a5616eb8d69fd7,1900-1-1,Chain,150
T27b67b0ca641a1d654f7a66f73bca8c4,T1551cf871db9135ba6b3a0e4075c8cfb,1900-1-1,Chain,150
T2d96cd53193a2f5636e4fc6d9d539e2e,Td33af9d82ef81b017986d23d118aa07b,1900-1-1,Chain,150
T2f4be376a164a3ac75bfb29d51472155,Tf500545f100325b015e8cc190b60cabc,1900-1-1,Chain,150
T2f698ed626b45168798df2fbaf3956ff,Tcdfe73e91662470981f0280eb1eeda96,1900-1-1,Cross,150
T37c827e5ca30216d94ff6102ca9f5d58,T75de8a8331dd36495b58cc5f55a5b0fc,1900-1-1,Chain,150
T3a770e4f4ed1b2812d872f33e354e2cd,T414fec7a3fa263976745d5bdce0e4a8e,1900-1-1,Chain,150
T40d3ffde7485fb7c0548087a82ab4b67,T1205b86c2dd3d54ecb83b96d048c695c,1900-1-1,Chain,150
T421af504afb0633833a785d10c6d3f22,Te83246b78e291df3ce1b44dda063ba86,1900-1-1,Chain,150
T44b9f72d9b4aeb5014f4e1bd5f440ea1,Td7ebbaa5c78d41574e9bf6959b413cd3,1900-1-1,Cross,150
T4713d8047b9ee93e5451896b518e3ddc,T6c6b58bceb4628a7b042d5bab85155a8,1900-1-1,Chain,150
T4713d8047b9ee93e5451896b518e3ddc,T6c6b58bceb4628a7b042d5bab85155a8,1900-1-1,Chain,150
T536534685ed765ba0cb0573b22dfe79c,T49d325ab6bc209bdc0a4875b4afd0dd5,1900-1-1,Chain,150
T5464405a91c561a47f5e76d8d669410a,T77053f2132b73cdebe42fcb6ec4b2d58,1900-1-1,Chain,150
T5fc501e2c3d48fe6a7548f45d2afdeb7,Tce74e00683271e4ade8f5f107f777e18,1900-1-1,Cross,150
T68a20b3fb66a6e9f7ff9d569ba52d29c,T29f392afd98032c4b70d0b942f1d4b9f,1900-1-1,Cross,150
T6bd99c78d2b041ac2be393130f46980d,Tc58add4c8bd44fb7e2d6fe35285f42e5,1900-1-1,Focus,150
T767b06f051c044712896320721aa1759,Tfd9c683298b4dc6a0921d879b6e66867,1900-1-1,Chain,150
T7b9265b42ce1245830ab820bc4e13d91,Tdf2662f72c52df1bc28bb419c3c8e825,1900-1-1,Chain,150
T81bd39c4c398012092637b27a78b4fa4,T292c8873fc3bc9056252524f8c96ef12,1900-1-1,Chain,150
T8396077909addc82b5a8d3d344ab6156,Tf77b481adacd7d7846d9980f1b8b9fc1,1900-1-1,Cross,150
T955d9041472ace15bee329096e774275,Tdde51bc5bd200be49aa76a50368b41be,1900-1-1,Chain,150
T97088873c717af282afceda31b3c4ebd,T5c0e4330660e0b4703d284bb86a71d2c,1900-1-1,Chain,150
T9e6e277e6cb3269e26b36844a548acd7,Tff3e1c8de55492271dbbff3d734691e6,1900-1-1,Cross,150
T9ee77fee9e8a52a54878141a5ff04a36,T64306d2d481895d1c1b982261229b15f,1900-1-1,Chain,150
Ta5fc613cd491a21ab9450be64e19cf3a,T6ad49a3af0f14d3e8fe01530d84c12f9,1900-1-1,Chain,150
Tad40b5cae7dfd8087273e6cc62d709ba,T607ad54e0727a49103e1a27c529c5075,1900-1-1,Chain,150
Tb90cee5aa62794fa68a77dac32059442,Tc6c40b3756919fdc54393a016410b1e4,1900-1-1,Chain,150
Tbcc0d4b7bd80296540a05afe5a3218fa,T3391ced4e7dcca863622cb5e5919e063,1900-1-1,Chain,150
Tc20f94b065a109f30c26fbc72974672c,T380034e4fb9805df372c20db0bf76219,1900-1-1,Chain,150
Tc377a7f304f7ff34cd2b2f27580b701d,Tc58add4c8bd44fb7e2d6fe35285f42e5,1900-1-1,Focus,150
Tc44c33ea6c957d981b6686db5a37e9d0,T8c3ee7404e8dc74c4e2ef51860068241,1900-1-1,Chain,150
Tc8cc719707741838532c0e681939c98f,T14b93fcc2e639ca87f912cfb7f5e052d,1900-1-1,Cross,150
Td13fcaabcddb035bc4889537800462f2,T6fd925015c966dd001acddd48fbeeaca,1900-1-1,Chain,150
Tdcc7618eae70c89e6abc571b792e35a7,Ta376650fa20902ccc9128a7caaf59d6a,1900-1-1,Chain,150
Tdcee5b176ee3afce738124b4e1864c00,T5864ba5faa38d8c89e07f418f5c1f273,1900-1-1,Chain,150
Tdf73ae76d77500c24d7b6b49d21d234a,T87a08794ae430230422cc7c3e9941c94,1900-1-1,Chain,150
Te0b561deb1d1888f3cd1182ff329559d,T42e8eb40da5df00b1b1880d44caf8e77,1900-1-1,Chain,150
Te5acbbcf99f71f3486eb0fbea9be5f2d,T14c33f5ded4628cd1fd8ec723a1178ce,1900-1-1,Chain,150
T34118c3296fa16ea3e18a6dc5f318ee0,T87202e21c6cb82d94dfbf7e0b6f8759e,1900-1-1,Cross,151.90159
T33896046fc70334bd07ed26468a4bb32,T1992b3e8e0159ae2c5f5fbaee473bbc4,1900-1-1,Focus,152
T33896046fc70334bd07ed26468a4bb32,T4f167feb0fbec3d555ef59ab2bce7ea3,1900-1-1,Focus,152
T33896046fc70334bd07ed26468a4bb32,T60c67f3e1e0833c755a61351a3312b27,1900-1-1,Focus,152
T33896046fc70334bd07ed26468a4bb32,T6857e35f6ac214fe5c194a621b8505fa,1900-1-1,Focus,152
T33896046fc70334bd07ed26468a4bb32,T80920d8acb68d853bf8d237ee5206504,1900-1-1,Focus,152
T33896046fc70334bd07ed26468a4bb32,Ta56835538948725e848ae6bc5cf1b548,1900-1-1,Focus,152
T33896046fc70334bd07ed26468a4bb32,Tcf4b73257ee7b829302c07f4396eb40c,1900-1-1,Focus,152
T33896046fc70334bd07ed26468a4bb32,Te74f46fb88eaef378cd911b5cb2c0796,1900-1-1,Focus,152
T33896046fc70334bd07ed26468a4bb32,Teeeaf05647cea1acee865d38138a1d49,1900-1-1,Focus,152
T50db56a82478e93a5c3bd1858248e6ae,Tabceac588d1e50b721c966e891d2d534,1900-1-1,Chain,155
Ta001f121139444dc8f3f095ff772a9a4,Tca0df65137691e64f49bbcc70249abd9,1900-1-1,Chain,155
Tf90564518d75e08377f844ebcbf067cd,Tb6e72c532e13defa85155874f4df48a5,1900-1-1,Chain,156.8
Td6dcdb099051fa0df3054aa2e79815f6,T0d3abdb0314b50c195a492140b3cc04c,1900-1-1,Chain,159
T07229899b230b30e308e4d1863dcc5df,T777c67522b69a9fcc7102fa39e7ec444,1900-1-1,Chain,160
T0c5868e5f02110253cc50371f348f130,T85660ca6ad7183e45bcde129cc2c760b,1900-1-1,Chain,160
T319fc72f1b5660188462b7cda0dbae75,Tbd03b9ddf2113ebc6187aa5207468b23,1900-1-1,Chain,160
T319fc72f1b5660188462b7cda0dbae75,Tbd03b9ddf2113ebc6187aa5207468b23,1900-1-1,Chain,160
T5f2f3440052cfb21f4598fd5a22c6cff,T9578f1c6fe35fee8668ede0dc625fbbc,1900-1-1,Chain,160
T5f4861aaa92965bae92584b4b7bfb8c5,T03d6993d0406863cd38b1073dc0a4b16,1900-1-1,Chain,160
T8b1004f56f56f497ccda20024aeff628,Td6846b8c581941723f0c024abeaeda65,1900-1-1,Chain,160
T90236027f9664557ffefe7cf2a63fd0e,T9d2517c03d0117985a30fab7eee9ec96,1900-1-1,Chain,160
Ta28a35df6f406f8a583074824885c6ed,Tc14e2c7277daf5b7f81fbf7a6d22e655,1900-1-1,Chain,160
Taa2638cd3a3879d125c550310a2befb1,T788f3d0301b3bc3ec4486ab5e75da439,1900-1-1,Cross,160
Tb9f4ad7be7cc4c8dcd512ecb7b310dfe,T4bc883e45bc09e0014cf13d932cc4bd7,1900-1-1,Chain,160
Tc7c2a822d78d262dc495258630f6cb78,T52a9a8016ce7863741c2724475c22c75,1900-1-1,Chain,160
Tfaedef1f120491f52c8349221b5182ea,T3e25d84fbbee80fa1910709456b86640,1900-1-1,Chain,160
Tffbaa74a863b823956053f7f23e32960,T83b9b0b687a7e10742e698f22cef53c0,1900-1-1,Chain,160
Tbc8b43943e61a8eb869ebd00d9260e7a,Tb6be96b28951d15eb7d887b5b102c32e,1900-1-1,Chain,163
Tddb6db055d1fe2a671c9738d0fa4a007,T153f11dbf10b156966c814141cd02773,1900-1-1,Chain,163
T72389aa44989ac27ae52e972ed91b61c,T1414e18e0c0b4c88c3e1365d35f68eb9,1900-1-1,Cross,165
Ta2ed1692507f6e4c70b37cad11444b81,T01e4cb259bbcd43ed6449c46c07c2b1e,1900-1-1,Chain,165
Teaea4ea1a2aa482bc31a791be7b4baea,T33edbaefadc876c362b23609d954619f,1900-1-1,Chain,165
Teaea4ea1a2aa482bc31a791be7b4baea,T33edbaefadc876c362b23609d954619f,1900-1-1,Chain,165
T912f9159d89d3b37ab276222a85dbdd7,Ta729dbd4c5d1e24c3d12b068aafb0467,1900-1-1,Chain,168.1
T72389aa44989ac27ae52e972ed91b61c,T3487814b9c2962bfd7777522036532a1,1900-1-1,Cross,170
Td70181fd5af09decb57ce5c1e43f625d,Ta760b3a2fab1a83480e1fc3fbce1b9d1,1900-1-1,Chain,170
T26f7e612347780eb37b66351ebcf089b,T0896e4f4c621afcf913e3094d2b9020a,1900-1-1,Chain,172
Tddf547ce5433a8edeaea65f726ce4c66,Tac8ecce2eb95b12dda17f88b105dce28,1900-1-1,Focus,172
T1abcac2abf585440e6c765c449789fcf,T22cb05fe28f6acd173feb68df164b060,1900-1-1,Chain,179
T7445085df1192090e993496e14c828b4,Tde603b2a9259023d0fc426fc30c36f22,1900-1-1,Chain,179
T01d13f71347633ec790dbdb6b3bb5cc5,T39a93258308ae0ba65435c794a488b34,1900-1-1,Chain,180
T04430290739bbe4863c917cec628c44c,T515634ee4ebf3bc7b8f0c065294e37f3,1900-1-1,Chain,180
T2c6d4ffe3dd4313bed9b50165d7d0d99,T6b355a5a00158392eace23baef4a1f9c,1900-1-1,Cross,180
T2fc07438cd212c96aa0495d0ab6ff0e6,Tac8e92688673bc3e098d941e0c35ca13,1900-1-1,Chain,180
T45b37a7752037aa160efc4d9d3c25ad6,T2a83e024cb84f6ddf3398454a071b8f3,1900-1-1,Chain,180
T53f171d8532d631406acd73c865f0edf,Te088af859ae114ab931983b993d35238,1900-1-1,Chain,180
T5467567cfe69a1ce3f7664868bd0d7ec,Tdc45ccf876d1b11411e686336e2fbdda,1900-1-1,Cross,180
T701ae32ba1edb6b66938afe8fa7db68b,T4fc4290228ccfd6e99b1dba5b334b980,1900-1-1,Chain,180
T748b18b8c2394c43b7e58a22b382223c,Tb4067c550952d4fc1c8ae7583459b4c4,1900-1-1,Chain,180
T8cfebaeef3f5ee63dbd14235e4207f22,T74b7ed12a8fc8170bd11c630ee556da0,1900-1-1,Chain,180
T9275ce8dbba2cc71e5a46a8e0c1c943b,T4f1a2230336c885cbd3953af4b2d949c,1900-1-1,Chain,180
T949a80b3f3b70fb79820ae498599225b,T5901e985db35e2ef3614ce4fefa9a7b2,1900-1-1,Chain,180
T9729981d987e34e1b84329812df81f02,Tb9b0aee9082d8fb928d806ba7dc7c0bc,1900-1-1,Chain,180
Tacf4d94098d10ab61cbc7d98bdeb9490,Tea07d3ebfdaf3a7521c549d3f5fd3eb9,1900-1-1,Chain,180
Tb88aac25d6235b4ce335c7d86d61daad,Tbe62e086fc7dd80145e52e58243c6977,1900-1-1,Chain,180
Te5e48355d53586934c0fd00dbfa2c124,T31294df62f4d8e9ef7a0d7401db30520,1900-1-1,Chain,180
Tea0e82c0b3ab05c8420684dea5232303,Tdc45ccf876d1b11411e686336e2fbdda,1900-1-1,Cross,180
T4af5e9b3e43561003ff298a07f355628,Td2bc450f2f800f3c84082eab7b322a5d,1900-1-1,Chain,186
T74cdc6814aa7820db5f4b7a8d6c83f25,T5e9c7ef7df5941a9af04650dd9be43ab,1900-1-1,Chain,187.5
T4954426c895239f4b63fa9dadf370cc5,Tbd43b5e0a9c7cad77606907a867d2f68,1900-1-1,Chain,190
T4954426c895239f4b63fa9dadf370cc5,Tbd43b5e0a9c7cad77606907a867d2f68,1900-1-1,Chain,190
T49c8fe230c61fd3162b0918f69ef1a87,T2538ef5ff9945241bb16acad9f882cc3,1900-1-1,Chain,190
T6c80ddd5cc2f47a992207af54ee32170,T4fd3a1e1e0602423fda7f107ce9fff60,1900-1-1,Chain,190
T93409ad3cf26ee40f3b822929a003c9b,T459dddac75869cd2f47aab0c824e61f3,1900-1-1,Chain,190
Ta62d4afc112434ecd5db97812b37add3,T20daa4d8aac5c4521df3d274e8100491,1900-1-1,Chain,190
Ta69d759c3ee6a6f3b26c8b55971f46d5,T3340b3325347f9508a57cbddd42464a9,1900-1-1,Chain,190
Tabbcef8cea55d468f0c994c925abf40f,T4b891cdf437b97d7040ed137d7002289,1900-1-1,Chain,194
Tabbcef8cea55d468f0c994c925abf40f,T4b891cdf437b97d7040ed137d7002289,1900-1-1,Focus,194
Tabbcef8cea55d468f0c994c925abf40f,T4b891cdf437b97d7040ed137d7002289,1900-1-1,Chain,194
T4565281e6d34a9ee829e4f3cd93a45eb,Tac8ecce2eb95b12dda17f88b105dce28,1900-1-1,Focus,195
T4565281e6d34a9ee829e4f3cd93a45eb,Tac8ecce2eb95b12dda17f88b105dce28,1900-1-1,Chain,195
T8da8bc7a0941ff2ff73c7c7a6588ebc7,Tac8ecce2eb95b12dda17f88b105dce28,1900-1-1,Focus,195
